location_id,name,place_name,street_address,description,category,category_on_map,rating,rating_on_map,legend_label_long,legend_label,latitude,longitude,township,lga,photos_on_map,source_layer,quality,status,synced_photos
yeppoon-cbd,YEPPOON CBD,,,The area of the Yeppoon CBD that this unTRAPPED MAP covers.,Locator,Locator,,,,,-23.127833,150.750552,YEPPOON,Livingstone,0,YEPPOON CBD,"town locator - not an accessibility feature; no rating, no icon",,
emu-park-cbd,EMU PARK CBD,,,The area of the Emu Park CBD that this unTRAPPED MAP covers.,Locator,Locator,,,,,-23.261215,150.82882,EMU PARK,Livingstone,0,EMU PARK CBD,"town locator - not an accessibility feature; no rating, no icon",,
toilet-bay-plaza,TOILET - Keppel Bay Plaza [EXCELLENT],Bay Plaza,64-76 James Street,"This shopping centre has Coles, the Cinema and NAB. The toilet is EXCELLENT",Toilets,Toilets,green,green,Accessible toilet - good,good,-23.128945,150.741548,YEPPOON,Livingstone,10,Toilets,address missing; re-assign on the map,,
toilet-multi-story-car-park,TOILET - disability [EXCELLENT],Multi-Story Car Park,9 Queen Street,*MLAK key required* --> obtain MLAK key from CHAPTER COFFEE shop 1. Rails on left hand side. 2. Door is 800mm wide. 3. Need to unlock and push door manually. Overall excellent condition and cleanliness,Toilets,Toilets,green,green,Accessible toilet - good,good,-23.129864,150.748139,YEPPOON,Livingstone,3,Toilets,address missing; re-assign on the map,,
toilet-big-w,TOILET - disability [EXCELLENT],Big W,42-44 Park Street,A well maintained disability toilet. Located near BIG W Has automatic sliding door for easy access.,Toilets,Toilets,green,green,Accessible toilet - good,good,-23.132675,150.736525,YEPPOON,Livingstone,0,Toilets,no photos; address missing,,
toilet-railway-hotel,TOILET - disability [EXCELLENT],Railway Hotel,78 James ST,New toilet built in June 2025 - Hand rail on Right-Hand-Side - Manual door but not heavy - No stoma hook.,Toilets,Toilets,green,green,Accessible toilet - good,good,-23.128717,150.742381,YEPPOON,Livingstone,3,Toilets,address missing,,
toilet-yeppoon-showgrounds,TOILET - disability [OKAY],Yeppoon Showgrounds,Cnr Gilpin Street and Morris Street,This toilet is within the Showgrounds precinct. It may not always be accessible to the public. IF YOU HAVE A COMPLAINT ABOUT THIS TOILET GOTO,Toilets,Toilets,orange,orange,Accessible toilet - check before you go,check before you go,-23.132421,150.739886,YEPPOON,Livingstone,8,Toilets,address missing,,
toilet-echelon-apartments,TOILET - disability [POOR],Echelon Apartments,18-22 Anzac Pde,"Access this toilet via Anzac Parade. Walk into the retail mall, and the toilet is located on the left, halfway up the hall. WARNING: Floor may slippery. NOTE: 1. There are two (2) doors to open manually to enter the disability toilet. 2. Door to toilets is only 680mm wide! 3. Rails on right-hand-side. 4. NO stoma hook. 5. THERE IS NO HANDLE TO OPEN THE DOOR - just a hole you put your fingers through.to open. 6. Door has a shut-device and for some users this will be heavy. Almost impossible for a solo-wheelchair user to navigate.",Toilets,Toilets,red,red,Accessible toilet - barriers,barriers,-23.131102,150.749024,YEPPOON,Livingstone,7,Toilets,address missing,,
toilet-keppel-bay-sailing-club,TOILET - disability [EXCELLENT],Keppel Bay Sailing Club,1 Anzac Parade,"*FOR PATRONS* Built in 2024, this toilet complies with standards BUT: 1. It has a manual door. Door is medium-heavy so some wheelchair users may require assistance. 2. Entrance is 87cm when taking into account the door that, when open, limits the width. FEATURES: Hand rail on LEFT-hand-side. Two stoma hooks near sink and mirror.",Toilets,Toilets,green,green,Accessible toilet - good,good,-23.133175,150.74995,YEPPOON,Livingstone,5,Toilets,address missing,,
toilet-appleton-park,TOILET - disability [OKAY],Appleton Park,Cnr Appleton Drive and Lagoon Place,"Located in the children's playground area. You will need to enter the through the gate, which has a CHILDPROOF lock on it; this requires a person at least 1.6m tall to access the opening-mechanism.",Toilets,Toilets,orange,orange,Accessible toilet - check before you go,check before you go,-23.13368,150.748793,YEPPOON,Livingstone,10,Toilets,address missing,,
